,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
187,Bambous Virieux,MU,-20.3428,57.7575,72.21,88,75,13.8,broken clouds
188,Trairi,BR,-3.2778,-39.2689,85.75,61,7,16.78,clear sky
189,Adjumani,UG,3.3779,31.7909,69.37,85,57,1.1,broken clouds
190,Desbiens,CA,48.4178,-71.9495,54.07,59,27,6.02,scattered clouds
191,Sao Felix Do Xingu,BR,-6.6447,-51.995,93.18,38,97,6.35,overcast clouds
192,Port Blair,IN,11.6667,92.75,79.99,83,55,6.44,broken clouds
193,Nobeoka,JP,32.5833,131.6667,65.77,85,0,2.62,clear sky
194,Liling,CN,27.6667,113.5,84.02,67,3,2.42,clear sky
195,Saint George,US,37.1041,-113.5841,86.47,22,1,3.0,clear sky
196,Ohara,JP,35.25,140.3833,69.94,81,2,5.35,clear sky
197,Cremlingen,DE,52.25,10.65,71.28,57,0,7.0,clear sky
198,Ust-Nera,RU,64.5667,143.2,22.91,92,29,3.22,scattered clouds
199,Sibolga,ID,1.7427,98.7792,77.45,79,94,2.28,overcast clouds
200,Korla,CN,41.7597,86.1469,51.89,32,16,4.41,few clouds
201,Porgera,PG,-5.4667,143.2,41.38,98,87,2.3,overcast clouds
202,Maturin,VE,9.75,-63.1767,82.38,79,53,8.86,broken clouds
203,Port Shepstone,ZA,-30.7414,30.455,61.41,62,100,5.66,overcast clouds
204,Sisophon,KH,13.5859,102.9737,77.29,90,99,3.27,overcast clouds
205,Nanchang,CN,28.6833,115.8833,78.82,54,0,4.5,light rain
206,Henties Bay,NA,-22.116,14.2845,54.86,88,3,5.1,clear sky
207,Gorakhpur,IN,29.45,75.6833,86.92,49,51,6.44,broken clouds
208,Pimentel,PE,-6.8367,-79.9342,71.89,60,0,20.71,clear sky
209,Mareeba,AU,-17.0,145.4333,69.44,93,73,3.06,broken clouds
210,Srednekolymsk,RU,67.45,153.6833,24.17,92,99,3.49,overcast clouds
211,Nome,US,64.5011,-165.4064,21.27,86,1,0.0,clear sky
212,Marapanim,BR,-0.7175,-47.6997,89.4,51,64,9.84,broken clouds
213,Katsuura,JP,35.1333,140.3,70.11,80,2,6.15,clear sky
214,Ponta Do Sol,PT,32.6667,-17.1,79.0,74,54,3.18,broken clouds
215,Liwale,TZ,-9.7667,37.9333,73.51,57,60,8.52,broken clouds
216,Alofi,NU,-19.0595,-169.9187,75.09,88,93,13.8,light rain
217,Goulburn,AU,-34.75,149.7167,49.15,76,72,3.89,broken clouds
218,Provideniya,RU,64.3833,-173.3,25.48,78,85,2.53,overcast clouds
219,Port Washington,US,40.8257,-73.6982,80.91,51,75,1.99,broken clouds
220,Bilma,NE,18.6853,12.9164,90.54,16,5,7.47,clear sky
221,Severnyy,RU,50.677,36.5532,46.44,76,5,6.71,clear sky
222,Evensk,RU,61.95,159.2333,40.5,61,100,20.02,overcast clouds
223,Tazovskiy,RU,67.4667,78.7,33.33,74,96,7.56,overcast clouds
224,Nemuro,JP,43.3236,145.575,61.0,85,35,31.0,light rain
225,Yerbogachen,RU,61.2767,108.0108,33.04,86,100,4.63,overcast clouds
226,Witu,KE,-2.3889,40.4382,77.16,82,56,9.48,broken clouds
227,Kruisfontein,ZA,-34.0033,24.7314,54.88,66,49,8.14,scattered clouds
228,Huaraz,PE,-9.5333,-77.5333,64.36,54,86,3.91,light rain
229,Song Phi Nong,TH,14.2241,100.0209,82.9,91,100,3.94,light rain
230,Japura,ID,-0.3167,102.35,74.79,91,100,1.16,overcast clouds
231,Nantucket,US,41.2835,-70.0995,74.25,75,40,14.97,scattered clouds
232,Atikokan,CA,48.7555,-91.6216,59.59,82,99,3.42,overcast clouds
233,Pangody,RU,65.85,74.4859,31.6,76,94,7.65,overcast clouds
234,Arroyo,ES,41.6096,-4.7969,57.07,56,20,9.22,few clouds
235,Morrope,PE,-6.5417,-80.0111,71.71,55,63,16.4,broken clouds
236,Mirnyy,RU,62.5353,113.9611,27.95,91,90,4.27,overcast clouds
237,Marau,BR,-28.4492,-52.2,64.33,99,100,2.93,overcast clouds
238,Decatur,US,39.8403,-88.9548,75.06,83,90,11.5,overcast clouds
239,Brae,GB,60.3964,-1.353,49.91,88,83,32.88,broken clouds
240,Mount Gambier,AU,-37.8333,140.7667,49.91,93,75,11.5,broken clouds
241,Newton,US,42.337,-71.2092,72.16,79,90,1.01,overcast clouds
242,Whitianga,NZ,-36.8333,175.7,60.03,98,100,11.23,light rain
243,Kathu,TH,7.9178,98.3332,86.7,89,87,9.37,overcast clouds
244,Haines Junction,CA,60.7522,-137.5108,33.75,100,100,3.44,light rain
245,Kadaya,RU,50.9327,119.2911,33.44,64,86,2.64,overcast clouds
246,Palmer,US,42.1584,-72.3287,74.68,68,90,1.01,light rain
247,Nizhniy Mamon,RU,50.1937,40.5083,48.72,69,46,6.96,scattered clouds
248,Port Lincoln,AU,-34.7333,135.8667,52.5,66,11,24.61,few clouds
249,Novikovo,RU,51.1537,37.8879,48.58,71,17,6.69,few clouds
250,Port-Gentil,GA,-0.7193,8.7815,78.76,83,75,11.5,broken clouds
251,Buraydah,SA,26.326,43.975,90.05,12,7,9.13,clear sky
252,Ghanzi,BW,-21.5667,21.7833,69.21,10,0,9.62,clear sky
253,Vila,PT,42.0304,-8.1588,52.93,74,53,5.14,broken clouds
254,Soeng Sang,TH,14.4264,102.4606,73.67,91,96,2.59,overcast clouds
255,Villagarzon,CO,1.0375,-76.6267,89.58,52,42,4.27,scattered clouds
256,Taywarah,AF,33.35,64.4167,48.06,30,0,6.02,clear sky
257,Nargana,PA,9.4428,-78.5906,82.4,80,66,9.1,broken clouds
258,Port Hawkesbury,CA,45.6169,-61.3485,60.87,69,40,8.99,scattered clouds
259,Faanui,PF,-16.4833,-151.75,78.78,71,22,10.83,few clouds
260,Bolkhov,RU,53.4433,36.0044,45.75,81,84,6.46,broken clouds
261,Port Hueneme,US,34.1478,-119.1951,97.45,46,1,4.61,clear sky
262,Talkha,EG,31.0539,31.3779,69.13,72,0,6.67,clear sky
263,San Policarpo,PH,12.1791,125.5072,80.8,86,100,12.84,heavy intensity rain
264,Mumbwa,ZM,-14.9783,27.0619,71.4,66,98,6.2,overcast clouds
265,Mpulungu,ZM,-8.7623,31.1141,77.36,67,64,1.63,broken clouds
266,Ndioum,SN,16.5129,-14.6471,100.35,25,41,6.67,scattered clouds
267,Shibetsu,JP,43.659,145.132,60.58,81,79,22.64,broken clouds
268,Killybegs,IE,54.6333,-8.45,50.45,76,78,16.17,broken clouds
269,Miyang,CN,24.4042,103.4428,62.29,99,12,2.71,few clouds
270,North Bend,US,43.4065,-124.2243,65.16,72,20,4.61,haze
271,Ahipara,NZ,-35.1667,173.1667,61.18,97,100,11.34,overcast clouds
272,Thompson,CA,55.7435,-97.8558,60.96,63,75,2.3,broken clouds
273,Fare,PF,-16.7,-151.0167,78.06,73,30,9.73,scattered clouds
274,Coihaique,CL,-45.5752,-72.0662,53.55,54,75,5.75,light intensity shower rain
275,Ola,RU,59.5833,151.2833,37.8,70,100,13.13,overcast clouds
276,Puerto Narino,CO,-3.7703,-70.3831,84.15,40,36,2.82,scattered clouds
277,Victoria,HK,22.2855,114.1577,85.32,78,60,1.99,light rain
278,Tura,IN,25.5198,90.2201,71.89,98,41,4.03,scattered clouds
279,Gweru,ZW,-19.45,29.8167,67.23,60,98,4.72,light rain
280,Belmonte,BR,-15.8631,-38.8828,82.9,69,20,13.0,few clouds
281,Zhigansk,RU,66.7697,123.3711,25.83,85,39,6.2,scattered clouds
282,Praia,CV,14.9215,-23.5087,86.54,62,20,13.8,few clouds
283,Santa Luzia,BR,-19.7697,-43.8514,93.34,36,40,5.75,scattered clouds
284,Mandalgovi,MN,45.7625,106.2708,34.86,55,49,3.2,scattered clouds
285,Riberalta,BO,-10.9833,-66.1,97.0,41,40,9.22,scattered clouds
286,Fortuna,US,40.5982,-124.1573,61.72,82,1,9.22,clear sky
287,Hamilton,US,39.1834,-84.5333,72.25,84,90,8.05,light rain
288,Vardo,NO,70.3705,31.1107,50.2,76,0,21.85,clear sky
289,Mecca,SA,21.4267,39.8261,87.64,41,100,5.84,overcast clouds
290,Georgetown,MY,5.4112,100.3354,81.9,86,20,4.61,few clouds
291,Wamba,NG,8.9333,8.6,76.91,82,60,1.57,broken clouds
292,Nago,JP,26.5881,127.9761,81.03,66,0,17.31,clear sky
293,Kichera,RU,55.9375,110.0997,34.41,77,100,4.03,overcast clouds
294,Bonavista,CA,48.6499,-53.1147,59.0,87,80,10.87,broken clouds
295,Virtsu,EE,58.5716,23.5115,57.18,74,99,23.24,overcast clouds
296,Galeras,CO,9.161,-75.0481,86.31,70,96,5.53,overcast clouds
297,Nouadhibou,MR,20.931,-17.0347,73.38,78,3,17.27,clear sky
